name,rating,score,votes,budget,gross,runtime,log_votes,weighted_score,runtime_category,director_top10,writer_top10,star_top30,genre_top10,country_top5,company_top10,is_hit
Mr. Baseball,PG-13,0.5540540540540541,0.41776076526194195,0.8137730755173961,0.7172903540348898,0.21634615384615385,9.210440366976515,55.2626422018591,normal,Others,Others,Others,Comedy,United States,Others,0
CrissCross,R,0.527027027027027,0.2356331120774381,0.7167435227488349,0.5932309990723572,0.17788461538461536,7.496097345175956,43.47736460202054,normal,Others,Others,Others,Crime,United States,Others,0
Waterland,R,0.635135135135135,0.2520012799843988,0.6856451599423127,0.5273896183122331,0.15384615384615385,7.650168700845001,50.491113425577,normal,Others,Others,Others,Drama,United Kingdom,Others,0
The Distinguished Gentleman,R,0.5405405405405406,0.46083285598885004,0.8343970640525399,0.7691676413210713,0.23557692307692313,9.61587214452889,56.733645652720455,normal,Others,Others,Eddie Murphy,Comedy,United States,Others,0
White Sands,R,0.5540540540540541,0.3843305863358819,0.7585181365721639,0.6630685969974559,0.1826923076923077,8.895766604056085,53.37459962433651,normal,Others,Others,Others,Action,United States,Others,0
Knight Moves,R,0.5675675675675674,0.3953767646452143,0.6759072406803831,0.5160874630658823,0.2548076923076923,8.999742789830492,54.898431017966,normal,Others,Others,Others,Crime,United States,Others,0
Light Sleeper,R,0.6621621621621621,0.36868147490291514,0.6215812079313173,0.5247423351528067,0.1923076923076923,8.748463629942055,59.48955268360597,normal,Others,Others,Others,Crime,United States,Others,0
A Midnight Clear,R,0.7162162162162161,0.40049702213501703,0.6215812079313173,0.5485252087775234,0.21634615384615385,9.04793908261736,65.14516139484499,normal,Others,Others,Others,Drama,United States,Others,0
A Stranger Among Us,PG-13,0.4999999999999999,0.3092418926760915,0.7399711967991446,0.6830498481450737,0.22596153846153844,8.188966863648876,45.8582144364337,normal,Others,Others,Others,Crime,United States,Others,0
Where the Day Takes You,R,0.635135135135135,0.2967325957703041,0.574368284984811,0.4605033490421007,0.20192307692307687,8.071218539969863,53.27004236380109,normal,Others,Others,Others,Crime,United States,Others,0
